24.47.68.195;asusrtn12d1-195.asuscomm.com;36.86.63.182
203.59.231.134;odly012.asuscomm.com;36.86.63.182
50.192.185.50;superasus66r50.asuscomm.com;36.86.63.182
67.80.32.211;5552-netherland-ave-bx.use-building.com;67.80.34.40
206.130.134.40;23512cvsdfge.tplinkdns.com;136.143.156.116
61.10.64.76;richview.smjsmj.info;168.70.67.94
203.218.140.87;WOODY-5G.asuscomm.com;219.73.56.187
69.165.197.40;gogogo.asuscomm.com;202.184.196.169
96.21.195.109;zonesismique.dyndns.org;36.86.63.182
45.6.128.25;4bf1046555b9.sn.mynetname.net;36.66.1.8
114.74.225.238;caesarnaye.mynetgear.com;1.40.87.190
73.247.179.16;73247netvpnusus.mynetgear.com;36.66.1.8
185.132.242.190;asusrtn12vp-190.asuscomm.com;36.86.63.182
95.91.43.28;DaMike0412.mynetgear.com;95.91.34.37
157.131.75.163;canetr7500v2163.mynetgear.com;157.131.74.215
59.102.25.178;autp5910225178.ddns.net;14.201.220.181
69.23.117.203;6923netgearovpn.mynetgear.com;69.76.160.20
172.103.25.164;172103netgearovpn.mynetgear.com;172.103.12.235
207.204.230.144;rtn66uip144.asuscomm.com;76.67.79.127
42.3.14.67;vtm4231467.asuscomm.com;36.86.63.182
194.193.35.200;56789069.mynetgear.com;193.119.56.232
120.150.144.155;netd7000-165.mynetgear.com;101.187.248.165
60.241.211.99;netd7000-251.mynetgear.com;27.32.239.193
220.246.161.14;nelsonremote.asuscomm.com;218.102.79.177
109.124.232.76;runovosib10912423276.asuscomm.com;109.124.203.17
73.149.19.170;myntgsrs7397r.mynetgear.com;73.97.138.142
77.35.29.66;prisco.mykeenetic.net;23.105.235.71
194.39.44.127;devig87189226115.hopto.org;87.189.226.115
5.130.18.213;novoac51u.asuscomm.com;36.86.63.182
37.192.251.141;novosib37192251141.asusconn;36.86.63.182
117.95.235.50;2337l869u4.51mypc.cn;0.0.0.0
151.20.232.212;itr6400-15120232212.mynetgear.com;151.30.132.85
176.206.183.126;gabriele.mynetgear.com;36.66.1.8
151.77.134.163;caldara.mynetgear.com;151.77.160.66
185.165.127.123; itr6400-185165127123.mynetgear.com;36.86.63.182
31.156.214.127;itD7000-31156214127.mynetgear.com;2.45.51.64
2.33.26.96;itd7800-2332696.mynetgear.com;2.33.26.79
38.119.135.229;38119135229ovpn.mynetgear.com;38.112.12.134
209.112.215.208;neby.dyndns.org;216.67.5.115
124.168.180.10;12416818010ovpn.mynetgear.com;124.168.184.151
"=====";"=====";"====="
"Old IP";"DDNS"
166.130.156.61;guard3000166.ddns.net
166.130.17.98;guard160133.ddns.net
166.166.158.80;guard166166.ddns.net
69.62.230.137;tlr600vpn6962.ddns.net
198.37.224.248;wrt54g19873.ddns.net
174.87.122.101;purplesy65158.ddns.net
107.12.64.115;tlr600vpn10712.ddns.net
76.110.33.5;ddwrt7611.ddns.net
107.184.77.108;frediehay78.ddns.net
65.152.131.162;tlr600vpn65152m.ddns.net
65.190.4.2;tomytompson1879m.ddns.net
63.131.38.107;vigor2820n63m.ddns.net
73.222.143.172;mypersonaldomain.dyndns.org
24.90.117.45;archerc12002490.ddns.net
38.102.119.84;linkteplin5.ddns.net
38.124.197.7;vegorfugor.ddns.net
73.205.47.233;ddwrt73205.ddns.net
75.142.79.26;7c3108cc36b9.sn.mynetname.net
74.80.16.37;drautra7480.ddns.net
74.218.172.42;sasansas887.ddns.net
184.186.11.2;saysay64239.ddns.net
64.239.129.210;restasd3223.ddns.net
67.165.129.233;faradanz67165.ddns.net
98.0.194.226;vovandra9.ddns.net
98.103.13.254;databord98.ddns.net
66.229.71.155;dongarcia66.ddns.net
96.11.129.50;dasmass9611.ddns.net
104.35.11.249;lesleyfreeman.ddns.net
69.57.97.52;ddwrt20548a.ddns.net
88.33.71.249;asus71249x.asuscomm.com
74.117.242.142;74117unknow.ddns.net
98.152.239.54;98152verodns.ddns.net
104.192.27.165;104192luxul324.ddns.net
24.221.1.213;24221landcell.ddns.net
74.95.165.201;7495rv082.ddns.net
24.221.0.97;24221calampl.ddns.net
47.41.64.94;paradise2307mn56001.ddns.net
47.13.185.123;paradise2307al35057.ddns.net
151.52.142.213; itr6400-15152142213.mynetgear.com
